Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.60060590956501E-06,-9.07607322631065E-15,0.203423267844838,0,0,0,6.05020988125157,0.0476293935351954,-7.11699483719659E-16,4.71369585177237E-06,0.0220440369542326,-2.22463099675456E-13,0.0350085747713705,0,0,0,0,0,0,package://双臂-新版支架/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/base_link.STL,,link1-1;link1-2;双臂安装架-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r1,2.46089328984067E-06,2.84970814695695E-07,0.164287024146416,0,0,0,1.49079078470913,0.00305951889689243,1.23224145480846E-07,-4.72348068369075E-08,0.00378376232211108,3.76862388560309E-08,0.00212531859055577,0,0,0,0,0,0,package://双臂-新版支架/meshes/r1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/r1.STL,,link-2-1,r_0,r_1,r-j1,revolute,0,-0.015,0.217,1.5708,0,0,base_link,0,0,1,0,0,-6.2832,6.2832,,,,,,,,
r2,1.7109375758606E-05,-0.0452985721312286,-0.000762955289207945,0,0,0,2.70256307184882,0.00984922872707283,3.34424080739394E-06,1.12868365751484E-09,0.00588632047318303,9.35439174938388E-05,0.00747853193882279,0,0,0,0,0,0,package://双臂-新版支架/meshes/r2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/r2.STL,,link-3-1,r_c1,r_2,r-j2,revolute,0,0,0.2075,-1.5708,0,-3.1416,r1,0,0,1,0,0,-1.8325,1.8325,,,,,,,,
r3,0.00699744558788395,0.000445736588468609,0.236701004991554,0,0,0,3.547891513174,0.0185299009082249,1.22460762225351E-06,-0.000124494465892274,0.018698885626507,1.6914180437995E-05,0.00375500742709277,0,0,0,0,0,0,package://双臂-新版支架/meshes/r3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/r3.STL,,link-4-1,r_c2,r_3,r-j3,revolute,0,0,0,1.5708,0,0,r2,0,0,1,0,0,-6.2832,6.2832,,,,,,,,
r4,0.00464518744522951,-0.0316040759638095,0.000428233746325696,0,0,0,1.47374197222549,0.00379329175797327,0.000160244324462576,2.06773138034882E-07,0.00225584643512912,8.03226681108331E-06,0.0028113434050461,0,0,0,0,0,0,package://双臂-新版支架/meshes/r4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/r4.STL,,link-5-2,r_c3,r_4,r-j4,revolute,-0.00040027,0,0.33028,-1.5708,0,0,r3,0,0,1,0,0,-2.5307,0.5235,,,,,,,,
r5,-2.73577081399967E-06,0.00407883931490413,0.18352950691287,0,0,0,2.2808120066642,0.00549240002759699,2.02933287530768E-07,1.9298965850965E-07,0.00557858764336011,-0.000384192244416796,0.00195892105469372,0,0,0,0,0,0,package://双臂-新版支架/meshes/r5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/r5.STL,,link-6-1,r_c4,r_5,r-j5,revolute,0,0,0,1.5708,0,0,r4,0,0,1,0,0,-6.2832,6.2832,,,,,,,,
r6,-1.87505921983577E-07,-0.0869630161566216,0.00554800902786426,0,0,0,1.76168294752758,0.0044404179592646,2.44941748662153E-08,6.87068699085181E-09,0.00157714249117265,-0.000769691499834349,0.00425162601625182,0,0,0,0,0,0,package://双臂-新版支架/meshes/r6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/r6.STL,,link-7-1,r_c5,r_6,r-j6,revolute,0,0,0.23494,-1.5708,0,-3.1416,r5,0,0,1,0,0,-1.8325,1.8325,,,,,,,,
r7,2.69436565863979E-07,-3.3825238780566E-05,0.176217274971408,0,0,0,0.634983447813082,0.000369700889597726,1.22320766369589E-19,4.05163027480798E-17,0.000370207334392979,4.30165001831772E-07,0.000512144745921585,0,0,0,0,0,0,package://双臂-新版支架/meshes/r7.STL,1,1,1,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/r7.STL,,link-9-1,r_c6,r_7,r-j7,revolute,0,0,0,1.5708,0,0,r6,0,0,1,0,0,-6.2832,6.2832,,,,,,,,
rt,-3.05311331771918E-16,-2.27071697556092E-09,-0.000999999999997891,0,0,0,0.00155862265526229,9.71784989903379E-08,6.21107762007834E-26,2.73552603418801E-20,9.71784989908336E-08,2.18305404592163E-13,1.93317916210005E-07,0,0,0,0,0,0,package://双臂-新版支架/meshes/rt.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/rt.STL,,link-t-1,r_c7,r_7,r-t,fixed,0,0,0.20277,0,0,0,r7,0,0,0,,,,,,,,,,,,
l1,-2.46089331418231E-06,-2.84970793879014E-07,0.164287024147332,0,0,0,1.49079078470914,0.00305951889689243,1.23224145473473E-07,4.72348068206694E-08,0.00378376232211108,-3.7686238848057E-08,0.00212531859055579,0,0,0,0,0,0,package://双臂-新版支架/meshes/l1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/l1.STL,,link-2-2,l_0,l_1,l-j1,revolute,0,0.015,0.217,1.5708,0,-3.1416,base_link,0,0,1,0,0,-6.2832,6.2832,,,,,,,,
l2,1.71098440110429E-05,-0.0452985718642395,-0.000764631078333716,0,0,0,2.70256303290927,0.00984922869542085,3.34426654175541E-06,1.15726850658801E-09,0.00588632041233304,9.35439353884379E-05,0.00747853188064802,0,0,0,0,0,0,package://双臂-新版支架/meshes/l2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/l2.STL,,link-3-2,l_c1,l_2,l-j2,revolute,0,0,0.2075,-1.5708,0,0,l1,0,0,1,0,0,-1.8325,1.8325,,,,,,,,
l3,0.0069974455887013,0.000444597979282146,0.236701003978499,0,0,0,3.5478915129612,0.0185299009078814,1.2243247722483E-06,-0.000124494468881493,0.0186988857028074,1.68802473177751E-05,0.00375500735022196,0,0,0,0,0,0,package://双臂-新版支架/meshes/l3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/l3.STL,,link-4-2,l_c2,l_3,l-j3,revolute,0,0,0,1.5708,0,0,l2,0,0,1,0,0,-6.2832,6.2832,,,,,,,,
l4,0.00464517168404846,-0.0316039244504552,0.000428108541729089,0,0,0,1.47374332570796,0.00379329619429672,0.000160244833022134,2.06309401483008E-07,0.00225584956891396,8.03305877483301E-06,0.00281134670019242,0,0,0,0,0,0,package://双臂-新版支架/meshes/l4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/l4.STL,,link-5-3,l_c3,l_4,l-j4,revolute,-0.00040027,0,0.33028,-1.5708,0,0,l3,0,0,1,0,0,-2.5307,0.5235,,,,,,,,
l5,2.28034625399109E-06,-0.00407998405797616,0.183530039277751,0,0,0,2.28087734068919,0.00549251858008177,1.60020672701341E-07,-1.71185165045815E-07,0.00557865460525819,0.000384258677887826,0.00195901321366414,0,0,0,0,0,0,package://双臂-新版支架/meshes/l5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/l5.STL,,link-6-2,l_c4,l_5,l-j5,revolute,0,0,0,1.5708,0,0,l4,0,0,1,0,0,-6.2832,6.2832,,,,,,,,
l6,-1.87505555082623E-07,-0.0869630161581292,0.00555105942509737,0,0,0,1.76168294749257,0.00444041795905793,2.44941275378522E-08,6.87068412016391E-09,0.00157714249113809,-0.00076969149979967,0.00425162601598907,0,0,0,0,0,0,package://双臂-新版支架/meshes/l6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/l6.STL,,link-7-2,l_c5,l_6,l-j6,revolute,0,0,0.23494,-1.5708,0,0,l5,0,0,1,0,0,-1.8325,1.8325,,,,,,,,
l7,2.69436515681898E-07,-3.11749811092998E-05,0.176217274894147,0,0,0,0.63498344781308,0.000369700889597725,3.08682840219382E-20,1.68985975866363E-20,0.000370207332440143,4.2984270214059E-07,0.000512144747874417,0,0,0,0,0,0,package://双臂-新版支架/meshes/l7.STL,1,1,1,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/l7.STL,,link-9-2,l_c6,l_7,l-j7,revolute,0,0,0,1.5708,0,0,l6,0,0,1,0,0,-6.2832,6.2832,,,,,,,,
lt,-2.77555756156289E-17,0,-0.001,0,0,0,0.0015586226552622,9.71784989903325E-08,-5.48533487843285E-30,4.26048794368033E-24,9.71784989903324E-08,2.37031749873271E-23,1.9331791621049E-07,0,0,0,0,0,0,package://双臂-新版支架/meshes/lt.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://双臂-新版支架/meshes/lt.STL,,link-t-2,l_c7,l_7,l-t,fixed,0,0,0.202771979800599,0,0,0,l7,0,0,0,,,,,,,,,,,,
